industry1,quarter,recruitment_rate
construction,1998-Q1,2.8
construction,1998-Q2,2.7
construction,1998-Q3,2.45
construction,1998-Q4,1.9500000000000002
construction,1999-Q1,2.175
construction,1999-Q2,2.125
construction,1999-Q3,2.65
construction,1999-Q4,2.3
construction,2000-Q1,2.325
construction,2000-Q2,2.85
construction,2000-Q3,2.7
construction,2000-Q4,2.375
construction,2001-Q1,2.8499999999999996
construction,2001-Q2,2.5
construction,2001-Q3,2.5
construction,2001-Q4,1.925
construction,2002-Q1,1.8
construction,2002-Q2,2.275
construction,2002-Q3,2.225
construction,2002-Q4,1.925
construction,2003-Q1,1.775
construction,2003-Q2,2.075
construction,2003-Q3,2.45
construction,2003-Q4,2.4
construction,2004-Q1,2.35
construction,2004-Q2,2.55
construction,2004-Q3,2.425
construction,2004-Q4,1.9500000000000002
construction,2005-Q1,2.05
construction,2005-Q2,2.625
construction,2005-Q3,2.75
construction,2005-Q4,2.7
construction,2006-Q1,2.85
construction,2006-Q2,2.8499999999999996
construction,2006-Q3,2.95
construction,2006-Q4,2.675
construction,2007-Q1,2.85
construction,2007-Q2,3.6500000000000004
construction,2007-Q3,3.4
construction,2007-Q4,3.05
construction,2008-Q1,3.3
construction,2008-Q2,4.074999999999999
construction,2008-Q3,3.925
construction,2008-Q4,2.775
construction,2009-Q1,2.175
construction,2009-Q2,2.45
construction,2009-Q3,2.65
construction,2009-Q4,2.15
construction,2010-Q1,2.1
construction,2010-Q2,2.675
construction,2010-Q3,2.725
construction,2010-Q4,2.425
construction,2011-Q1,2.3
construction,2011-Q2,2.925
construction,2011-Q3,2.9
construction,2011-Q4,3.125
construction,2012-Q1,2.975
construction,2012-Q2,3.575
construction,2012-Q3,3.375
construction,2012-Q4,3.45
construction,2013-Q1,3.35
construction,2013-Q2,3.6
construction,2013-Q3,2.975
construction,2013-Q4,2.625
construction,2014-Q1,2.525
construction,2014-Q2,3.175
construction,2014-Q3,2.625
construction,2014-Q4,2.6
construction,2015-Q1,2.225
construction,2015-Q2,2.75
construction,2015-Q3,2.4000000000000004
construction,2015-Q4,2.125
construction,2016-Q1,1.975
construction,2016-Q2,2.125
construction,2016-Q3,1.875
construction,2016-Q4,1.8
construction,2017-Q1,1.55
construction,2017-Q2,1.95
construction,2017-Q3,1.6
construction,2017-Q4,1.55
construction,2018-Q1,1.75
construction,2018-Q2,2.35
construction,2018-Q3,1.9
construction,2018-Q4,2.025
construction,2019-Q1,2.2
construction,2019-Q2,2.3
construction,2019-Q3,2.225
construction,2019-Q4,2.0
construction,2020-Q1,1.725
construction,2020-Q2,0.675
construction,2020-Q3,0.95
construction,2020-Q4,1.2
construction,2021-Q1,1.5
construction,2021-Q2,1.7999999999999998
construction,2021-Q3,1.3
construction,2021-Q4,2.05
construction,2022-Q1,2.7
construction,2022-Q2,3.225
construction,2022-Q3,2.825
construction,2022-Q4,2.475
construction,2023-Q1,1.9
manufacturing,1998-Q1,2.6770833333333335
manufacturing,1998-Q2,2.1625
manufacturing,1998-Q3,1.7729166666666665
manufacturing,1998-Q4,1.3458333333333332
manufacturing,1999-Q1,1.6312499999999999
manufacturing,1999-Q2,2.433333333333333
manufacturing,1999-Q3,2.379166666666667
manufacturing,1999-Q4,1.9749999999999999
manufacturing,2000-Q1,2.7818181818181817
manufacturing,2000-Q2,3.1204545454545456
manufacturing,2000-Q3,2.909090909090909
manufacturing,2000-Q4,2.1204545454545456
manufacturing,2001-Q1,2.565909090909091
manufacturing,2001-Q2,2.0704545454545453
manufacturing,2001-Q3,1.7227272727272727
manufacturing,2001-Q4,1.3340909090909092
manufacturing,2002-Q1,1.75
manufacturing,2002-Q2,2.088636363636364
manufacturing,2002-Q3,2.165909090909091
manufacturing,2002-Q4,1.5863636363636362
manufacturing,2003-Q1,1.9295454545454547
manufacturing,2003-Q2,1.875
manufacturing,2003-Q3,1.8795454545454546
manufacturing,2003-Q4,1.6795454545454547
manufacturing,2004-Q1,2.35
manufacturing,2004-Q2,2.5749999999999997
manufacturing,2004-Q3,2.338636363636364
manufacturing,2004-Q4,1.8659090909090907
manufacturing,2005-Q1,2.0454545454545454
manufacturing,2005-Q2,2.3704545454545456
manufacturing,2005-Q3,2.3113636363636365
manufacturing,2005-Q4,1.8818181818181818
manufacturing,2006-Q1,2.35
manufacturing,2006-Q2,2.7178571428571425
manufacturing,2006-Q3,2.6357142857142857
manufacturing,2006-Q4,1.9321428571428572
manufacturing,2007-Q1,2.117857142857143
manufacturing,2007-Q2,2.585714285714286
manufacturing,2007-Q3,2.5535714285714284
manufacturing,2007-Q4,1.907142857142857
manufacturing,2008-Q1,2.092857142857143
manufacturing,2008-Q2,2.5142857142857147
manufacturing,2008-Q3,2.242857142857143
manufacturing,2008-Q4,1.5214285714285716
manufacturing,2009-Q1,1.3464285714285715
manufacturing,2009-Q2,1.5785714285714287
manufacturing,2009-Q3,1.9821428571428572
manufacturing,2009-Q4,1.6785714285714286
manufacturing,2010-Q1,1.9714285714285715
manufacturing,2010-Q2,2.439285714285714
manufacturing,2010-Q3,2.4035714285714285
manufacturing,2010-Q4,1.9000000000000001
manufacturing,2011-Q1,2.0714285714285716
manufacturing,2011-Q2,2.25
manufacturing,2011-Q3,2.35
manufacturing,2011-Q4,1.6857142857142857
manufacturing,2012-Q1,2.210714285714286
manufacturing,2012-Q2,2.175
manufacturing,2012-Q3,2.1357142857142857
manufacturing,2012-Q4,1.7428571428571427
manufacturing,2013-Q1,1.8178571428571428
manufacturing,2013-Q2,2.2535714285714286
manufacturing,2013-Q3,2.1785714285714284
manufacturing,2013-Q4,1.6821428571428572
manufacturing,2014-Q1,1.8678571428571427
manufacturing,2014-Q2,2.132142857142857
manufacturing,2014-Q3,2.242857142857143
manufacturing,2014-Q4,1.6928571428571428
manufacturing,2015-Q1,1.7321428571428572
manufacturing,2015-Q2,2.132142857142857
manufacturing,2015-Q3,1.967857142857143
manufacturing,2015-Q4,1.3892857142857142
manufacturing,2016-Q1,1.6964285714285714
manufacturing,2016-Q2,1.8857142857142857
manufacturing,2016-Q3,1.7464285714285714
manufacturing,2016-Q4,1.5250000000000001
manufacturing,2017-Q1,1.8035714285714286
manufacturing,2017-Q2,2.0285714285714285
manufacturing,2017-Q3,2.0142857142857142
manufacturing,2017-Q4,1.6500000000000001
manufacturing,2018-Q1,1.8357142857142856
manufacturing,2018-Q2,2.2285714285714286
manufacturing,2018-Q3,2.0535714285714284
manufacturing,2018-Q4,1.6642857142857144
manufacturing,2019-Q1,1.8285714285714287
manufacturing,2019-Q2,2.1107142857142858
manufacturing,2019-Q3,1.8142857142857143
manufacturing,2019-Q4,1.4857142857142858
manufacturing,2020-Q1,1.3821428571428573
manufacturing,2020-Q2,1.0107142857142857
manufacturing,2020-Q3,1.1928571428571428
manufacturing,2020-Q4,1.3357142857142856
manufacturing,2021-Q1,1.5964285714285713
manufacturing,2021-Q2,2.15
manufacturing,2021-Q3,2.092857142857143
manufacturing,2021-Q4,2.0107142857142857
manufacturing,2022-Q1,2.1964285714285716
manufacturing,2022-Q2,2.542857142857143
manufacturing,2022-Q3,2.4071428571428575
manufacturing,2022-Q4,1.8964285714285716
manufacturing,2023-Q1,1.8714285714285714
others,1998-Q1,2.3
others,1998-Q2,1.675
others,1998-Q3,1.85
others,1998-Q4,1.6
others,1999-Q1,2.4
others,1999-Q2,1.7750000000000001
others,1999-Q3,0.925
others,1999-Q4,1.15
others,2000-Q1,2.725
others,2000-Q2,2.6
others,2000-Q3,2.875
others,2000-Q4,3.2
others,2001-Q1,3.75
others,2001-Q2,3.325
others,2001-Q3,3.225
others,2001-Q4,2.1500000000000004
others,2002-Q1,2.2
others,2002-Q2,2.95
others,2002-Q3,4.05
others,2002-Q4,3.25
others,2003-Q1,2.2
others,2003-Q2,2.575
others,2003-Q3,2.75
others,2003-Q4,2.175
others,2004-Q1,2.2
others,2004-Q2,3.175
others,2004-Q3,2.725
others,2004-Q4,2.75
others,2005-Q1,2.5999999999999996
others,2005-Q2,2.75
others,2005-Q3,2.6
others,2005-Q4,3.3499999999999996
others,2006-Q1,1.825
others,2006-Q2,2.275
others,2006-Q3,1.9
others,2006-Q4,1.575
others,2007-Q1,1.875
others,2007-Q2,4.475
others,2007-Q3,2.775
others,2007-Q4,2.575
others,2008-Q1,3.0
others,2008-Q2,3.25
others,2008-Q3,3.125
others,2008-Q4,1.95
others,2009-Q1,1.825
others,2009-Q2,1.9500000000000002
others,2009-Q3,2.325
others,2009-Q4,2.4250000000000003
others,2010-Q1,1.6749999999999998
others,2010-Q2,2.2
others,2010-Q3,2.375
others,2010-Q4,1.875
others,2011-Q1,2.35
others,2011-Q2,2.3
others,2011-Q3,2.275
others,2011-Q4,1.725
others,2012-Q1,2.35
others,2012-Q2,2.425
others,2012-Q3,2.75
others,2012-Q4,2.125
others,2013-Q1,2.075
others,2013-Q2,2.35
others,2013-Q3,2.25
others,2013-Q4,1.875
others,2014-Q1,2.75
others,2014-Q2,1.825
others,2014-Q3,2.1500000000000004
others,2014-Q4,2.025
others,2015-Q1,1.7999999999999998
others,2015-Q2,1.9500000000000002
others,2015-Q3,2.05
others,2015-Q4,1.55
others,2016-Q1,1.4249999999999998
others,2016-Q2,1.4
others,2016-Q3,1.475
others,2016-Q4,1.3
others,2017-Q1,1.475
others,2017-Q2,1.65
others,2017-Q3,1.775
others,2017-Q4,1.45
others,2018-Q1,1.975
others,2018-Q2,2.175
others,2018-Q3,2.25
others,2018-Q4,2.625
others,2019-Q1,2.075
others,2019-Q2,1.975
others,2019-Q3,1.7750000000000001
others,2019-Q4,1.425
others,2020-Q1,1.3250000000000002
others,2020-Q2,1.0750000000000002
others,2020-Q3,1.125
others,2020-Q4,1.1
others,2021-Q1,2.3
others,2021-Q2,1.675
others,2021-Q3,1.475
others,2021-Q4,1.85
others,2022-Q1,1.8250000000000002
others,2022-Q2,1.625
others,2022-Q3,1.625
others,2022-Q4,1.375
others,2023-Q1,1.0
services,1998-Q1,3.066666666666667
services,1998-Q2,2.763888888888889
services,1998-Q3,2.4457142857142857
services,1998-Q4,2.441666666666667
services,1999-Q1,2.5472222222222225
services,1999-Q2,3.025714285714286
services,1999-Q3,3.4194444444444447
services,1999-Q4,3.1714285714285713
services,2000-Q1,3.353012048192771
services,2000-Q2,3.746987951807229
services,2000-Q3,3.683132530120482
services,2000-Q4,2.6843373493975906
services,2001-Q1,3.189156626506024
services,2001-Q2,3.145783132530121
services,2001-Q3,2.6083333333333334
services,2001-Q4,1.9825
services,2002-Q1,2.1765432098765434
services,2002-Q2,2.5719512195121954
services,2002-Q3,2.692857142857143
services,2002-Q4,2.325609756097561
services,2003-Q1,2.379268292682927
services,2003-Q2,2.063855421686747
services,2003-Q3,2.620731707317073
services,2003-Q4,2.585542168674699
services,2004-Q1,2.827710843373494
services,2004-Q2,2.989156626506024
services,2004-Q3,2.9416666666666664
services,2004-Q4,2.7180722891566265
services,2005-Q1,2.6566265060240966
services,2005-Q2,2.955421686746988
services,2005-Q3,3.183132530120482
services,2005-Q4,2.779268292682927
services,2006-Q1,3.0044444444444443
services,2006-Q2,2.9844444444444447
services,2006-Q3,3.379120879120879
services,2006-Q4,3.0516483516483515
services,2007-Q1,2.991304347826087
services,2007-Q2,3.720652173913044
services,2007-Q3,3.5315217391304343
services,2007-Q4,2.904444444444444
services,2008-Q1,3.157608695652174
services,2008-Q2,3.4739130434782606
services,2008-Q3,3.1695652173913045
services,2008-Q4,2.4555555555555557
services,2009-Q1,2.2344444444444442
services,2009-Q2,2.381521739130435
services,2009-Q3,2.6791208791208794
services,2009-Q4,2.707692307692308
services,2010-Q1,3.118478260869565
services,2010-Q2,3.4912087912087912
services,2010-Q3,3.3869565217391306
services,2010-Q4,2.9813186813186814
services,2011-Q1,3.076923076923077
services,2011-Q2,3.1999999999999997
services,2011-Q3,3.276086956521739
services,2011-Q4,2.85
services,2012-Q1,2.9087912087912087
services,2012-Q2,3.1999999999999997
services,2012-Q3,3.0565217391304347
services,2012-Q4,2.741304347826087
services,2013-Q1,2.845652173913044
services,2013-Q2,3.2142857142857144
services,2013-Q3,3.2282608695652173
services,2013-Q4,2.7967391304347826
services,2014-Q1,2.858695652173913
services,2014-Q2,3.3560439560439557
services,2014-Q3,3.3260869565217392
services,2014-Q4,2.7527472527472527
services,2015-Q1,2.8494505494505495
services,2015-Q2,3.0846153846153843
services,2015-Q3,2.7456521739130433
services,2015-Q4,2.5760869565217392
services,2016-Q1,2.634782608695652
services,2016-Q2,2.747826086956522
services,2016-Q3,2.4521739130434783
services,2016-Q4,2.2880434782608696
services,2017-Q1,2.4593406593406595
services,2017-Q2,2.507608695652174
services,2017-Q3,2.4271739130434784
services,2017-Q4,2.3315217391304346
services,2018-Q1,2.4684782608695652
services,2018-Q2,2.805434782608696
services,2018-Q3,2.3369565217391304
services,2018-Q4,2.2153846153846155
services,2019-Q1,2.4869565217391307
services,2019-Q2,2.7315217391304345
services,2019-Q3,2.5456521739130435
services,2019-Q4,2.073913043478261
services,2020-Q1,2.133695652173913
services,2020-Q2,1.4119565217391306
services,2020-Q3,1.6395604395604395
services,2020-Q4,1.8648351648351646
services,2021-Q1,2.139130434782609
services,2021-Q2,2.356521739130435
services,2021-Q3,2.1793478260869565
services,2021-Q4,2.5532608695652175
services,2022-Q1,2.61304347826087
services,2022-Q2,3.1684782608695654
services,2022-Q3,3.1217391304347823
services,2022-Q4,2.652173913043478
services,2023-Q1,2.5395604395604394
total,1998-Q1,2.725
total,1998-Q2,2.45
total,1998-Q3,2.175
total,1998-Q4,2.0
total,1999-Q1,2.125
total,1999-Q2,2.7
total,1999-Q3,2.95
total,1999-Q4,2.75
total,2000-Q1,3.075
total,2000-Q2,3.575
total,2000-Q3,3.425
total,2000-Q4,2.85
total,2001-Q1,3.075
total,2001-Q2,2.75
total,2001-Q3,2.425
total,2001-Q4,1.9249999999999998
total,2002-Q1,2.1
total,2002-Q2,2.5
total,2002-Q3,2.725
total,2002-Q4,2.275
total,2003-Q1,2.4
total,2003-Q2,2.225
total,2003-Q3,2.525
total,2003-Q4,2.475
total,2004-Q1,2.8
total,2004-Q2,3.05
total,2004-Q3,3.0
total,2004-Q4,2.6
total,2005-Q1,2.55
total,2005-Q2,2.9
total,2005-Q3,3.0
total,2005-Q4,2.675
total,2006-Q1,2.725
total,2006-Q2,2.95
total,2006-Q3,3.15
total,2006-Q4,2.725
total,2007-Q1,2.7
total,2007-Q2,3.4
total,2007-Q3,3.3
total,2007-Q4,2.75
total,2008-Q1,2.925
total,2008-Q2,3.325
total,2008-Q3,3.125
total,2008-Q4,2.35
total,2009-Q1,1.95
total,2009-Q2,2.225
total,2009-Q3,2.575
total,2009-Q4,2.5
total,2010-Q1,2.775
total,2010-Q2,3.05
total,2010-Q3,3.0999999999999996
total,2010-Q4,2.725
total,2011-Q1,2.725
total,2011-Q2,2.95
total,2011-Q3,3.1
total,2011-Q4,2.75
total,2012-Q1,2.8
total,2012-Q2,3.05
total,2012-Q3,2.95
total,2012-Q4,2.75
total,2013-Q1,2.825
total,2013-Q2,3.125
total,2013-Q3,2.9
total,2013-Q4,2.625
total,2014-Q1,2.625
total,2014-Q2,2.9749999999999996
total,2014-Q3,2.925
total,2014-Q4,2.55
total,2015-Q1,2.4749999999999996
total,2015-Q2,2.775
total,2015-Q3,2.6
total,2015-Q4,2.425
total,2016-Q1,2.425
total,2016-Q2,2.55
total,2016-Q3,2.3
total,2016-Q4,2.125
total,2017-Q1,2.2
total,2017-Q2,2.375
total,2017-Q3,2.35
total,2017-Q4,2.25
total,2018-Q1,2.35
total,2018-Q2,2.725
total,2018-Q3,2.4
total,2018-Q4,2.25
total,2019-Q1,2.4000000000000004
total,2019-Q2,2.625
total,2019-Q3,2.525
total,2019-Q4,2.15
total,2020-Q1,2.025
total,2020-Q2,1.3
total,2020-Q3,1.75
total,2020-Q4,1.825
total,2021-Q1,2.025
total,2021-Q2,2.225
total,2021-Q3,2.125
total,2021-Q4,2.475
total,2022-Q1,2.575
total,2022-Q2,3.075
total,2022-Q3,2.95
total,2022-Q4,2.55
total,2023-Q1,2.425
